id,name,height,weight,base_experience,base_happiness,egg_group,habitat,gender,growth_rate,is_legendary,is_mythical,shape,stats,types,abilities,flavour_text,evolution_chain,genre,sprites_id,generation
1,bulbasaur,7,69,64,50,"[""monster"",""plant""]",grassland,,medium-slow,false,false,quadruped,"[{""name"":""hp"",""baseStat"":45},{""name"":""attack"",""baseStat"":49},{""name"":""defense"",""baseStat"":49},{""name"":""special-attack"",""baseStat"":65},{""name"":""special-defense"",""baseStat"":65},{""name"":""speed"",""baseStat"":45}]","[{""name"":""grass""},{""name"":""poison""}]","[{""name"":""overgrow"",""isHidden"":false},{""name"":""chlorophyll"",""isHidden"":true}]","[""A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON."",""It can go for days without eating a single morsel. In the bulb on its back, it stores energy."",""The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows."",""It carries a seed on its back right from birth. As it grows older, the seed also grows larger."",""While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow."",""BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."",""There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger."",""For some time after its birth, it grows by gaining nourishment from the seed on its back.""]",1,Seed Pokémon,1,Generation I
2,ivysaur,10,130,142,50,"[""monster"",""plant""]",grassland,,medium-slow,false,false,quadruped,"[{""name"":""hp"",""baseStat"":60},{""name"":""attack"",""baseStat"":62},{""name"":""defense"",""baseStat"":63},{""name"":""special-attack"",""baseStat"":80},{""name"":""special-defense"",""baseStat"":80},{""name"":""speed"",""baseStat"":60}]","[{""name"":""grass""},{""name"":""poison""}]","[{""name"":""overgrow"",""isHidden"":false},{""name"":""chlorophyll"",""isHidden"":true}]","[""When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."",""The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom."",""Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger."",""If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."",""The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms."",""There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."",""To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower."",""There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."",""When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.""]",1,Seed Pokémon,2,Generation I
3,venusaur,20,1000,263,50,"[""monster"",""plant""]",grassland,,medium-slow,false,false,quadruped,"[{""name"":""hp"",""baseStat"":80},{""name"":""attack"",""baseStat"":82},{""name"":""defense"",""baseStat"":83},{""name"":""special-attack"",""baseStat"":100},{""name"":""special-defense"",""baseStat"":100},{""name"":""speed"",""baseStat"":80}]","[{""name"":""grass""},{""name"":""poison""}]","[{""name"":""overgrow"",""isHidden"":false},{""name"":""chlorophyll"",""isHidden"":true}]","[""The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight."",""The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy."",""By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power."",""It is able to con­ vert sunlight into energy. As a result, it is more powerful in the summertime."",""As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance."",""There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people."",""A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle."",""After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.""]",1,Seed Pokémon,3,Generation I
4,charmander,6,85,62,50,"[""monster"",""dragon""]",mountain,,medium-slow,false,false,upright,"[{""name"":""hp"",""baseStat"":39},{""name"":""attack"",""baseStat"":52},{""name"":""defense"",""baseStat"":43},{""name"":""special-attack"",""baseStat"":60},{""name"":""special-defense"",""baseStat"":50},{""name"":""speed"",""baseStat"":65}]","[{""name"":""fire""}]","[{""name"":""blaze"",""isHidden"":false},{""name"":""solar-power"",""isHidden"":true}]","[""Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."",""The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places."",""The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly."",""The flame on its tail indicates CHARMANDER's life force. If it is healthy, the flame burns brightly."",""If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet."",""The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely."",""The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged."",""From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."",""It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."",""The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.""]",2,Lizard Pokémon,4,Generation I
5,charmeleon,11,190,142,50,"[""monster"",""dragon""]",mountain,,medium-slow,false,false,upright,"[{""name"":""hp"",""baseStat"":58},{""name"":""attack"",""baseStat"":64},{""name"":""defense"",""baseStat"":58},{""name"":""special-attack"",""baseStat"":80},{""name"":""special-defense"",""baseStat"":65},{""name"":""speed"",""baseStat"":80}]","[{""name"":""fire""}]","[{""name"":""blaze"",""isHidden"":false},{""name"":""solar-power"",""isHidden"":true}]","[""When it swings its burning tail, it elevates the temperature to unbearably high levels."",""Tough fights could excite this POKéMON. When excited, it may blow out bluish- white flames."",""It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins."",""It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."",""If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."",""CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."",""Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color."",""It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws."",""In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.""]",2,Flame Pokémon,5,Generation I
6,charizard,17,905,267,50,"[""monster"",""dragon""]",mountain,,medium-slow,false,false,upright,"[{""name"":""hp"",""baseStat"":78},{""name"":""attack"",""baseStat"":84},{""name"":""defense"",""baseStat"":78},{""name"":""special-attack"",""baseStat"":109},{""name"":""special-defense"",""baseStat"":85},{""name"":""speed"",""baseStat"":100}]","[{""name"":""fire""},{""name"":""flying""}]","[{""name"":""blaze"",""isHidden"":false},{""name"":""solar-power"",""isHidden"":true}]","[""Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally."",""When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely."",""If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color."",""Breathing intense, hot flames, it can melt almost any­ thing. Its breath inflicts terrible pain on enemies."",""It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle."",""CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."",""A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe."",""Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures."",""It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames."",""It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.""]",2,Flame Pokémon,6,Generation I
7,squirtle,5,90,63,50,"[""monster"",""water1""]",waters-edge,,medium-slow,false,false,upright,"[{""name"":""hp"",""baseStat"":44},{""name"":""attack"",""baseStat"":48},{""name"":""defense"",""baseStat"":65},{""name"":""special-attack"",""baseStat"":50},{""name"":""special-defense"",""baseStat"":64},{""name"":""speed"",""baseStat"":43}]","[{""name"":""water""}]","[{""name"":""torrent"",""isHidden"":false},{""name"":""rain-dish"",""isHidden"":true}]","[""After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."",""Shoots water at prey while in the water. Withdraws into its shell when in danger."",""The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it."",""The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out."",""When it feels threatened, it draws its legs inside its shell and sprays water from its mouth."",""SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds."",""When it retracts its long neck into its shell, it squirts out water with vigorous force."",""It shelters itself in its shell, then strikes back with spouts of water at every opportunity.""]",3,Tiny Turtle Pokémon,7,Generation I
8,wartortle,10,225,142,50,"[""monster"",""water1""]",waters-edge,,medium-slow,false,false,upright,"[{""name"":""hp"",""baseStat"":59},{""name"":""attack"",""baseStat"":63},{""name"":""defense"",""baseStat"":80},{""name"":""special-attack"",""baseStat"":65},{""name"":""special-defense"",""baseStat"":80},{""name"":""speed"",""baseStat"":58}]","[{""name"":""water""}]","[{""name"":""torrent"",""isHidden"":false},{""name"":""rain-dish"",""isHidden"":true}]","[""Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."",""When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit."",""It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old."",""It cleverly con­ trols its furry ears and tail to maintain its balance while swimming."",""Its long, furry tail is a symbol of longevity, making it quite popular among older people."",""Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler."",""Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle."",""This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity."",""It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.""]",3,Turtle Pokémon,8,Generation I
9,blastoise,16,855,265,50,"[""monster"",""water1""]",waters-edge,,medium-slow,false,false,upright,"[{""name"":""hp"",""baseStat"":79},{""name"":""attack"",""baseStat"":83},{""name"":""defense"",""baseStat"":100},{""name"":""special-attack"",""baseStat"":85},{""name"":""special-defense"",""baseStat"":105},{""name"":""speed"",""baseStat"":78}]","[{""name"":""water""}]","[{""name"":""torrent"",""isHidden"":false},{""name"":""rain-dish"",""isHidden"":true}]","[""A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles."",""Once it takes aim at its enemy, it blasts out water with even more force than a fire hose."",""It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires."",""The rocket cannons on its shell fire jets of water capable of punch­ ing holes through thick steel."",""It firmly plants its feet on the ground before shooting water from the jets on its back."",""BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet."",""The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet."",""It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."",""The pressurized water jets on this brutal POKéMON’s shell are used for high- speed tackles."",""The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.""]",3,Shellfish Pokémon,9,Generation I
10,caterpie,3,29,39,50,"[""bug""]",forest,,medium,false,false,armor,"[{""name"":""hp"",""baseStat"":45},{""name"":""attack"",""baseStat"":30},{""name"":""defense"",""baseStat"":35},{""name"":""special-attack"",""baseStat"":20},{""name"":""special-defense"",""baseStat"":20},{""name"":""speed"",""baseStat"":45}]","[{""name"":""bug""}]","[{""name"":""shield-dust"",""isHidden"":false},{""name"":""run-away"",""isHidden"":true}]","[""Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls."",""If you touch the feeler on top of its head, it will release a horrible stink to protect itself."",""For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies."",""Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage."",""It crawls into foliage where it camouflages itself among leaves that are the same color as its body."",""CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor."",""Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae."",""It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon."",""It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly."",""When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey."",""It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers."",""Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day."",""Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food.""]",4,Worm Pokémon,10,Generation I
